year,make,drive,transmission,engine_descriptor,engine_cylinders,engine_displacement,fuel_type,city_mpg_ft1,highway_mpg_ft1,annual_fuel_cost_ft1,save_or_spend_5_year,annual_consumption_in_barrels_ft1,tailpipe_co2_in_grams_mile_ft1
2004,Acura,Front-Wheel Drive,Automatic 4-Speed,NA,6,3.5,Premium,16,22,2350,-5000,18.31166667,493.7222222
2004,Acura,4-Wheel or All-Wheel Drive,Automatic 5-Speed,NA,6,3.5,Premium,15,21,2500,-5750,19.38882353,522.7647059
2004,Acura,Rear-Wheel Drive,Automatic (S4),DOHC,6,3,Premium,16,22,2350,-5000,18.31166667,493.7222222
2004,Acura,Rear-Wheel Drive,Manual 6-Speed,DOHC,6,3.2,Premium,16,22,2350,-5000,18.31166667,493.7222222
2004,Acura,Front-Wheel Drive,Automatic (S5),NA,4,2,Regular,22,31,1400,-250,13.1844,355.48
2004,Acura,Front-Wheel Drive,Manual 5-Speed,NA,4,2,Regular,24,30,1350,0,12.67730769,341.8076923
2004,Acura,Front-Wheel Drive,Manual 6-Speed,NA,4,2,Premium,21,28,1750,-2000,13.73375,370.2916667
2004,Acura,Front-Wheel Drive,Automatic (S5),SOHC,6,3.2,Premium,18,26,2000,-3250,15.69571429,423.1904762
2004,Acura,Front-Wheel Drive,Manual 6-Speed,SOHC,6,3.2,Premium,18,28,2000,-3250,15.69571429,423.1904762
2004,Acura,Front-Wheel Drive,Automatic (S5),NA,4,2.4,Premium,20,29,1850,-2500,14.33086957,386.3913043
2004,Acura,Front-Wheel Drive,Manual 6-Speed,NA,4,2.4,Premium,19,27,1900,-2750,14.98227273,403.9545455
2004,Aston Martin,Rear-Wheel Drive,Automatic (S6),NA,12,5.9,Premium,11,18,3250,-9500,25.35461538,683.6153846
2004,Audi,Front-Wheel Drive,Automatic (variable gear ratios),NA,4,1.8,Premium,20,27,1850,-2500,14.33086957,386.3913043
2004,Audi,Front-Wheel Drive,Automatic (variable gear ratios),NA,6,3,Premium,18,26,2000,-3250,15.69571429,423.1904762
